"title","year","class","imdbID","plot"
"Flower Drum Song","1961","Comedy","tt0054885","Chinese stowaway Mei Li (Miyoshi Umeki) arrives in San Francisco with her father to meet her fiancé, wealthy nightclub owner Sammy Fong (Jack Soo), in an arranged marriage, but the groom has his eye on his star singer Linda Low (Nancy Kwan). This film version of the Rodgers and Hammerstein Broadway musical is filled with memorable song-and-dance numbers showcasing the contrast between Mei Li's traditional family and her growing fascination with American culture."
"Foolish Wives","1922","Drama","tt0013140","""Count"" Karanzim, a Don Juan is with his cousins in Monte Carlo, living from faked money and the money he gets from rich ladies, who are attracted by his charmes and his title or his militaristic and aristocratic behaviour. He tries to have success with Mrs Hughes, the wife of the new US ambassador."
"Footlight Parade","1933","Comedy","tt0024028","Chester Kent produces musical comedies on the stage. With the beginning of the talkies era he changes to producing short musical prologues for movies. This is stressful to him, because he always needs new units and his rival is stealing his ideas. He can get an contract with a producer if he is able to stage in three days three new prologues. In spite of great problems, he does it."
"Footloose","1984","Drama","tt0087277","Classic tale of teenage rebellion and repression features a delightful combination of dance choreography and realistic and touching performances. When teenager Ren McCormack and his family move from big-city Chicago to a small Midwestern town, he's in for a real case of culture shock. Though he tries hard to fit in, the streetwise Ren can't quite believe he's living in a place where rock music and dancing are illegal. However, there is one small pleasure: Ariel Moore, a troubled but lovely blonde with a jealous boyfriend. And a Bible-thumping minister, who is responsible for keeping the town dance-free. Ren and his classmates want to do away with this ordinance, especially since the senior prom is around the corner, but only Ren has the courage to initiate a battle to abolish the outmoded ban and revitalize the spirit of the repressed townspeople. Fast-paced drama is filled with such now-famous hit songs as the title track and ""Let's Hear It for the Boy""."
"Force of Evil","1948","Drama","tt0040366","Lawyer Joe Morse wants to consolidate all the small-time numbers racket operators into one big powerful operation. But his elder brother Leo is one of these small-time operators who wants to stay that way, preferring not to deal with the gangsters who dominate the big-time."
"Frankenstein","1931","Drama","tt0021884","Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again."
"Freaks","1932","Drama","tt0022913","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
"From Here to Eternity","1953","Drama","tt0045793","In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love."
"From the Manger to the Cross; or, Jesus of Nazareth","1912","Drama","tt0002199","An account of the life of Jesus Christ, based on the books of the New Testament: After Jesus' birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise men. After a stay in Egypt to avoid King Herod, his family settles in Nazareth. After years of preparation, Jesus gathers together a group of disciples, and then begins to speak publicly and to perform miracles, inspiring hope in many of his listeners, but also arousing some dangerous opposition."
"Full Metal Jacket","1987","Drama","tt0093058","A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive."
"Fury","1936","Drama","tt0027652","Based on the story ""Mob Rule"" by Norman Krasna. Joe Wilson and Katherine Grant are in love, but he doesn't have enough money for them to get married. So Katherine moves across the country to make money. But things go disastrously wrong for Joe when he stops in a small town and is mistaken for a wanted murderer. Through the course of the movie, Fritz Lang shows us how a decent and once civilized man can become a ruthless and bitter man."
"Gandhi","1982","Drama","tt0083987","In 1893, Gandhi is thrown off a South African train for being an Indian and traveling in a first class compartment. Gandhi realizes that the laws are biased against Indians and decides to start a non-violent protest campaign for the rights of all Indians in South Africa. After numerous arrests and the unwanted attention of the world, the government finally relents by recognizing rights for Indians, though not for the native blacks of South Africa. After this victory, Gandhi is invited back to India, where he is now considered something of a national hero. He is urged to take up the fight for India's independence from the British Empire. Gandhi agrees, and mounts a non-violent non-cooperation campaign of unprecedented scale, coordinating millions of Indians nationwide. There are some setbacks, such as violence against the protesters and Gandhi's occasional imprisonment. Nevertheless, the campaign generates great attention, and Britain faces intense public pressure. Too weak from World War II to continue enforcing its will in India, Britain finally grants India's independence. Indians celebrate this victory, but their troubles are far from over. Religious tensions between Hindus and Muslims erupt into nation-wide violence. Gandhi declares a hunger strike, saying he will not eat until the fighting stops. The fighting does stop eventually, but the country is divided. It is decided that the northwest area of India, and eastern part of India (current day Bangladesh), both places where Muslims are in the majority, will become a new country called Pakistan (West and East Pakistan respectively). It is hoped that by encouraging the Muslims to live in a separate country, violence will abate. Gandhi is opposed to the idea, and is even willing to allow Muhammad Ali Jinnah to become the first prime minister of India, but the Partition of India is carried out nevertheless. Gandhi spends his last days trying to bring about peace between both nations. He thereby angers many dissidents on both sides, one of whom finally gets close enough to assassinate him."
"Gentlemen Prefer Blondes","1953","Comedy","tt0045810","Lorelei and Dorothy are just ""Two Little Girls from Little Rock"", lounge singers on a transatlantic cruise, working their way to Paris, and enjoying the company of any eligible men they might meet along the way, even though ""Diamonds are a Girl's Best Friend."" Based on the Broadway musical based on the novel."
"Gertie the Dinosaur","1914","Comedy","tt0004008","Winsor Z. McCay bets another cartoonist that he can animate a dinosaur. So he draws a big friendly herbivore called Gertie. Then he get into his own picture. Gertie walks through the picture, eats a tree, meets her creator, and takes him carefully on her back for a ride."
"Ghost","1990","Drama","tt0099653","Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons."
"Ghostbusters","1984","Comedy","tt0087332","Peter Venkman, Ray Stantz and Egon work at the University where they delve into the paranormal and fiddle with many unethical experiments on the students. As they are kicked out of the University do they really understand their knowledge of the paranormal and go into business for themselves. Under the new snazzy business name of 'Ghostbusters', and living in the old firehouse building they work out of, they are called to rid New York City of paranormal phenomenon at everyone's whim.... for a price. They make national press as the media thinks and pressures everybody the Ghostbusters are the cause of it all. Thrown in jail by the EPA, the mayor takes a chance and calls on them to help save the city. Unbeknownst to all, a long dead Gozer worshiper (Evo Shandor) erected downtown apartment building is the cause of all the paranormal activity. They find out the building could resurrect the ancient Hittite god, Gozer, and bring an end to all of humanity. Who are you gonna call to stop this terrible world-ending menace?"
"Giant","1956","Drama","tt0049261","Texan rancher Bick Benedict visits a Maryland farm to buy a prize horse. Whilst there he meets and falls in love with the owner's daughter Leslie, they are married immediately and return to his ranch. The story of their family and its rivalry with cowboy and (later oil tycoon) Jett Rink unfolds across two generations."
"Gigi","1958","Comedy","tt0051658","Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship, but it may not stay platonic for long."
"Gilda","1946","Drama","tt0038559","Just arrived in Argentina, small-time crooked gambler Johnny Farrell is saved from a gunman by sinister Ballin Mundson, who later makes Johnny his right-hand man. But their friendship based on mutual lack of scruples is strained when Mundson returns from a trip with a wife: the supremely desirable Gilda, whom Johnny once knew and learned to hate. The relationship of Johnny and Gilda, a battlefield of warring emotions, becomes even more bizarre after Mundson disappears..."
"Gladiator","2000","Drama","tt0172495","Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge."
"Gone with the Wind","1939","Drama","tt0031381","Scarlett is a woman who can deal with a nation at war, Atlanta burning, the Union Army carrying off everything from her beloved Tara, the carpetbaggers who arrive after the war. Scarlett is beautiful. She has vitality. But Ashley, the man she has wanted for so long, is going to marry his placid cousin, Melanie. Mammy warns Scarlett to behave herself at the party at Twelve Oaks. There is a new man there that day, the day the Civil War begins. Rhett Butler. Scarlett does not know he is in the room when she pleads with Ashley to choose her instead of Melanie."
"Goodbye, Mr. Chips","1939","Drama","tt0031385","An old classics teacher looks back over his long career, remembering pupils and colleagues, and above all the idyllic courtship and marriage that transformed his life."
"Goodfellas","1990","Drama","tt0099685","Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?"
"Grand Hotel","1932","Drama","tt0022958","Berlin's plushest, most expensive hotel is the setting where in the words of Dr. Otternschlag ""People come, people go. Nothing ever happens."". The doctor is usually drunk so he missed the fact that Baron von Geigern is broke and trying to steal eccentric dancer Grusinskaya's pearls. He ends up stealing her heart instead. Powerful German businessman Preysing brow beats Kringelein, one of his company's lowly bookkeepers but it is the terminally ill Kringelein who holds all the cards in the end. Meanwhile, the Baron also steals the heart of Preysing's mistress, Flaemmchen, but she doesn't end up with either one of them in the end..."
"Greed","1924","Drama","tt0015881","John McTeague was a simple slow man who became a dentist after working at the Big Dipper Gold Mine. He is now being hunted in Death Valley by his ex-best friend Marcus and the law. His lot was cast the day that he meet his future wife Trina in his office. She was with Marcus and she bought a lottery ticket. Well Mac fell for her and Marcus stepped aside. When Mac and Trina married, she won the Lottery for $5000 and became obsessive about the money in gold. Marcus is steamed as he stepped aside and now she is rich so he has the law shut down Mac as he has no official schooling for his dentistry. Trina fearful that they will take her gold away sells everything and takes all Mac earns when he is working. She adds to her stash of gold as they both live as paupers. When Mac has no job and no money, he leaves and Trina moves. Driven to desperation at being poor and hungry he finds Trina and demands the gold."
"Groundhog Day","1993","Comedy","tt0107048","A weather man is reluctantly sent to cover a story about a weather forecasting ""rat"" (as he calls it). This is his fourth year on the story, and he makes no effort to hide his frustration. On awaking the 'following' day he discovers that it's Groundhog Day again, and again, and again. First he uses this to his advantage, then comes the realisation that he is doomed to spend the rest of eternity in the same place, seeing the same people do the same thing EVERY day."
"Gunga Din","1939","Comedy","tt0031398","Based loosely on the poem by Rudyard Kipling, this takes place in British India during the Thuggee uprising. Three fun loving sergeants are doing fine until one of them wants to get married and leave the service. The other two trick him into a final mission where they end up confronting the entire cult by themselves as the British Army is entering a trap. This is of the ""War is fun"" school of movie making. It has the flavour of watching Notre Dame play an inferior high school team."
"Guys and Dolls","1955","Comedy","tt0048140","All the hot gamblers are in town, and they're all depending on Nathan Detroit to set up this week's incarnation of ""The Oldest Established Permanent Floating Crap Game in New York""; the only problem is, he needs $1000 to get the place. Throw in Sarah Brown, who's short on sinners at the mission she runs; Sky Masterson, who accepts Nathan's $1000 bet that he can't get Sarah Brown to go with him to Havana; Miss Adelaide, who wants Nathan to marry her; Police Lieutenant Brannigan, who always seems to appear at the wrong time; and the music/lyrics of Frank Loesser, and you've got quite a musical. Includes the songs: Fugue for Tinhorns, ""Luck Be a Lady"", ""Sit Down, You're Rocking the Boat""."
"Hail the Conquering Hero","1944","Comedy","tt0036891","Having been discharged from the Marines for a hayfever condition before ever seeing action, Woodrow Lafayette Pershing Truesmith (Eddie Bracken) delays the return to his hometown, feeling that he is a failure. While in a moment of melancholy, he meets up with a group of Marines who befriend him and encourage him to return home to his mother by fabricating a story that he was wounded in battle with honorable discharge. They make him wear a uniform complete with medals and is pushed by his new friends into accepting a Hero's welcome when he gets home where he is to be immortalized by a statue that he doesn't want, has songs written about his heroic battle stories, and ends up unwillingly running for mayor. Despite his best efforts to explain the truth, no one will listen."
"Hallelujah","1929","Drama","tt0019959","In a juke joint, sharecropper Zeke falls for a beautiful dancer, Chick, but she's only setting him up for a rigged craps game. He loses $100, the money he got for the sale of his family's entire cotton crop. His brother Spunk is mortally wounded in the shoot-out which follows. Zeke goes away but returns as Brother Zekiel the preacher. His forceful preaching draws the faithful in large numbers. Even Chick wants to be saved. Zekiel has asked the pretty Missy Rose to marry him, but Chick can still cast a spell over the preacher..."
"Hands Up!","1926","Comedy","tt0016947","A southern spy during the Civil War, he must try to capture a shipment of gold. His task is complicated by the two sisters, the Indians and a firing squad."
"Hester Street","1975","Drama","tt0073107","It's 1896. Yankel Bogovnik, a Russian Jew, emigrated to the United States three years earlier and has settled where many of his background have, namely on Hester Street on the Lower East ..."
"High Noon","1952","Drama","tt0044706","On the day he gets married and hangs up his badge, lawman Will Kane is told that a man he sent to prison years before, Frank Miller, is returning on the noon train to exact his revenge. Having initially decided to leave with his new spouse, Will decides he must go back and face Miller. However, when he seeks the help of the townspeople he has protected for so long, they turn their backs on him. It seems Kane may have to face Miller alone, as well as the rest of Miller's gang, who are waiting for him at the station..."
"Hoop Dreams","1994","Drama","tt0110057","This documentary follows two young African-Americans through their high school years as they perfect their skills in basketball in the hopes of getting a college scholarship and eventually play in the NBA. Arthur Agee and William Gates both show great potential and are are actively recruited as they look to enter high school. They start off at the same high school but unable to pay an unexpected bill for tuition fees, Arthur has to withdraw and go to the local public high school. The film follows them through their four years of high school and their trials and tribulations: injuries, slumps and the never ending battle to maintain their grades. Through it all, their hoop dreams continue."
"Hoosiers","1986","Drama","tt0091217","A coach with a checkered past and a local drunk train a small town high school basketball team to become a top contender for the championship."
"House of Usher","1960","Drama","tt0053925","After a long journey, Philip arrives at the Usher mansion seeking his loved one, Madeline. Upon arriving, however, he discovers that Madeline and her brother Roderick Usher have been afflicted with a mysterious malady: Roderick's senses have become painfully acute, while Madeline has become catatonic. That evening, Roderick tells his guest of an old Usher family curse: any time there has been more than one Usher child, all of the siblings have gone insane and died horrible deaths. As the days wear on, the effects of the curse reach their terrifying climax."
"How Green Was My Valley","1941","Drama","tt0033729","Life is hard in a Welsh mining town and no less so for the Morgan family. Seen through the eyes of the family's youngest, Huw, we learn of the family's trials and tribulations. Family patriarch Gwilym and his older sons work in the mines, dangerous and unhealthy as it is. Gwilym has greater hopes for his youngest son, but Huw has his own ideas on how to honor his father. Daughter Angharad is the most beautiful girl in the valley and is very much in love with Mr. Gruffydd, who isn't sure he can provide her the life she deserves. Times are hard and good men find themselves out of work and exploited by unseen mine owners."
"Humoresque","1920","Drama","tt0011317","Young Leon Kanter dreams of being a great violinist. His parents scrape up the money for a violin and for lessons, and Leon rewards them by becoming a great player. But as an adult, Leon finds that people want more from him than just music."
"I Am a Fugitive from a Chain Gang","1932","Drama","tt0023042","Having returned from fighting in World War I, James Allen doesn't want to settle into a humdrum life and decides to set off to find his fortune. He travels the length and breadth of America, working as a skilled tradesman in the construction industry. When times get tough however, he finds himself living in a shelter where an acquaintance suggests they go out for a hamburger. What the friend really has in mind is to rob the diner and Allen soon finds himself working on a chain gang with a long jail sentence. Allen manages to escape however and heads to Chicago where over several years he slowly but surely works his way up the ladder to become one of the most respected construction engineers in the city. His past catches up with him and despite protestations from civic leaders and his many friends in Chicago, he finds himself again on the chain gang. Escaping for a second time, he accepts that to survive, he must lead a life of crime."
"Imitation of Life","1934","Drama","tt0025301","Bea Pullman and her daughter Jessie have had a hard time making ends meet since Bea's husband died. Help comes in the form of Delilah Johnson, who agrees to work as Bea's housekeeper in exchange for a room for herself and her daughter Peola. Bea comes up with a plan to market Delilah's pancake recipe. The two soon become wealthy and as the years go on, their friendship deepens. Their relationships with their daughters, however, become strained. Ashamed of her mother, Peola seeks a new life by passing for white. Bea's love for her daughter is tested when she and Jessie fall for the same man."
"Imitation of Life","1959","Drama","tt0052918","Aspiring actress Lora Meredith meets Annie Johnson, a homeless black woman at Coney Island and soon they share a tiny apartment. Each woman has an intolerable daughter, though, Annie's little girl Sarah Jane, is by far the worse. Neurotic and obnoxious, Sarah Jane doesn't like being black; since she's light-skinned (her father was practically white), she spends the rest of the film passing as white, much to her mother's heartache and shame. Lora, meanwhile, virtually ignores her own daughter in a single-minded quest for stardom."
"In a Lonely Place","1950","Drama","tt0042593","Screenwriter Dixon Steele, faced with the odious task of scripting a trashy bestseller, has hat-check girl Mildred Atkinson tell him the story in her own words. Later that night, Mildred is murdered and Steele is a prime suspect; his record of belligerence when angry and his macabre sense of humor tell against him. Fortunately, lovely neighbor Laurel Gray gives him an alibi. Laurel proves to be just what Steele needed, and their friendship ripens into love. Will suspicion, doubt, and Steele's inner demons come between them?"
"In Cold Blood","1967","Drama","tt0061809","In meeting in Kansas, ex-cons Perry Smith and Dick Hickock are breaking several conditions of their respective paroles. The meeting, initiated by Dick, is to plan and eventually carry out a robbery based on information he had received from a fellow inmate about $10,000 cash being locked in a hidden safe in the home of the farming Clutter family of Holcomb, Kansas. After the robbery, they plan on going to Mexico permanently to elude capture by the police. Each brings a necessary personality to the partnership to carry out the plan, Dick who is the brash manipulator, Perry the outwardly more sensitive but unrealistic dreamer with a violent streak under the surface. Perry literally carries all his dreams in a large box he takes with him wherever he goes. The robbery does not go according to plan in any respect, the pair who ultimately hogtie and execute all four members of the Clutter family, only coming away from the home with $43 in cash. As Perry and Dick go on the run, a murder investigation ensues, led by Topeka based Detective Alvin Dewey. If Dewey and his team are able eventually to identify the pair as the murderers and capture them, they, if they understand the two, may get their much needed confessions in dividing and conquering. Perry and Dick's fates may also be regardless of who literally pulled the trigger."
"In the Heat of the Night","1967","Drama","tt0061811","Detective Virgil Tibbs is caught up in the racial tension of the US South when he is arrested after the murder of a prominent businessman. Tibbs was simply waiting for his next train at the station in Sparta, Mississippi and the confusion is soon resolved but when local police chief Gillespie learns that Tibbs is the Philadelphia PD's number one homicide expert, he reluctantly asks for his assistance. The murdered man, Mr. Colbert, had come to Sparta from the North to build a new factory and his wife and business associates immediately point the finger at Endicott, the most powerful man in the county and the one who had the most to lose if a major new employer comes to the area. Tibbs' life is clearly in danger but he perseveres in a highly charged and racially explosive environment until the killer is found."
"In the Land of the Head Hunters","1914","Drama","tt0004150","In 1911, as part of his massive undertaking, famed Northwest photographer Edward S. Curtis travelled to Vancouver Island, British Columbia, to visit the Kwakwaka'wakw. By the next year, needing money for his project and to add to his research and still photography work, Curtis decided that the best way to record the traditional way of life and ceremonies of the Kwakwaka'wakw was to make one of the first feature motion pictures. Curtis had already shot footage in 1906 of the Hopi Snake dance, which he had previously showed during his talks, but this was to be on a grander scale. It took three years of preparation for this one film including the weaving of the costumes; building of the war canoes, housefronts, poles; and the carving of masks. Assisting on the film was George Hunt, a Kwakwaka'wakw who had served as an interpreter for the famous anthropologist Franz Boas nearly twenty years before. Hunt helped contribute substantial portions of the film's story as well. Selected for the National Film Registry by the Library of Congress, this early Native American drama/documentary released in 1914 is an amazing film produced in collaboration with the tribe members. The story of love and revenge among the Kwakwaka'wakw of British Columbia, Motana, the son of a great chief, goes on a vigil journey. Through fasting and hardships he hopes to gain supernatural strength which will make him a chief as powerful as his father. Curtis showcases the Kwakwaka'wakw's magnifcent war canoes, totem poles, rituals, costumes and dancing."
"Intolerance: Love's Struggle Throughout the Ages","1916","Drama","tt0006864","Intolerance and its terrible effects are examined in four historical eras. In ancient Babylon, a mountain girl is caught up in the religious rivalry that leads to the city's downfall. In Judea, the hypocritical Pharisees condemn Jesus Christ. In 1572 Paris, unaware of the impending St. Bartholomew's Day Massacre, two young Huguenots prepare for marriage. Finally, in modern America, social reformers destroy the lives of a young woman and her beloved."
"It","1927","Comedy","tt0018033","Shopgirl Betty Lou has designs on Cyrus Waltham, the handsome owner of the department store where she works. Waltham, though, doesn't even know Betty Lou is around. In hopes of attracting Waltham's attention, she accepts a date with his best friend, Monty, under the condition that they dine at the Ritz, where Waltham also has a dinner date that evening. Her plan works and in no time at all she and Waltham are contemplating marriage. The romance cools when a newspaper reporter mistakenly writes a story depicting Betty Lou as an unwed mother."
"It's a Gift","1934","Comedy","tt0025318","The owner of a general store (Harold Bisonette) is hounded by his status-anxious wife (""That's 'Bee-soh-nay'"" and ""I have no maid you know""). To get some sleep he goes out on the porch where he is tormented by a little boy from the floor above (Baby Dunk) and an insurance salesman down below (""LaFong. Capital L, small a...""). He uses an inheritance to buy an orange ranch through the mail, then drives off with his family for California. The orange grove consists of a withered tree, the ranch house is but a shack, and the car falls to pieces. But a racetrack operator wants the land, so all ends happily."
"It's a Wonderful Life","1946","Drama","tt0038650","George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money and hides it from Billy. When the bank examiner discovers the shortage later that night, George realizes that he will be held responsible and sent to jail and the company will collapse, finally allowing Potter to take over the town. Thinking of his wife, their young children, and others he loves will be better off with him dead, he contemplates suicide. But the prayers of his loved ones result in a gentle angel named Clarence coming to earth to help George, with the promise of earning his wings. He shows George what things would have been like if he had never been born. In a nightmarish vision in which the Potter-controlled town is sunk in sex and sin, those George loves are either dead, ruined, or miserable. He realizes that he has touched many people in a positive way and that his life has truly been a wonderful one."
"It Happened One Night","1934","Comedy","tt0025316","Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what (he thinks!) he wants .... a really juicy newspaper story."
"Jailhouse Rock","1957","Drama","tt0050556","After serving time for manslaughter, young Vince Everett becomes a teenage rock star."
"Jaws","1975","Drama","tt0073195","It's a hot summer on Amity Island, a small community whose main business is its beaches. When new Sheriff Martin Brody discovers the remains of a shark attack victim, his first inclination is to close the beaches to swimmers. This doesn't sit well with Mayor Larry Vaughn and several of the local businessmen. Brody backs down to his regret as that weekend a young boy is killed by the predator. The dead boy's mother puts out a bounty on the shark and Amity is soon swamped with amateur hunters and fisherman hoping to cash in on the reward. A local fisherman with much experience hunting sharks, Quint, offers to hunt down the creature for a hefty fee. Soon Quint, Brody and Matt Hooper from the Oceanographic Institute are at sea hunting the Great White shark. As Brody succinctly surmises after their first encounter with the creature, they're going to need a bigger boat."
"Jezebel","1938","Drama","tt0030287","Set in antebellum New Orleans during the early 1850's, this film follows Julie Marsden through her quest for social redemption on her own terms. Julie is a beautiful and free spirited, rapacious Southern belle who is sure of herself and controlling of her fiancé Preston Dillard, a successful young banker. Julie's sensitive but domineering personality--she does not want so much to hurt as to assert her independence--forces a wedge between Preston and herself. To win him back, she plays North against South amid a deadly epidemic of yellow fever which claims a surprising victim."
"Johnny Guitar","1954","Drama","tt0047136","After helping a wounded gang member, a strong-willed female saloon owner is wrongly suspected of murder and bank robbery by a lynch mob."
"Judgment at Nuremberg","1961","Drama","tt0055031","It has been three years since the most important Nazi leaders had already been tried. This trial is about 4 judges who used their offices to conduct Nazi sterilization and cleansing policies. Retired American judge, Dan Haywood has a daunting task ahead of him. The Cold War is heating up and no one wants any more trials as Germany, and Allied governments, want to forget the past. But is that the right thing to do is the question that the tribunal must decide."
"Knute Rockne All American","1940","Drama","tt0032676","Lars Rockne and his family, including his four year old son Knute, emigrate to Chicago in 1892 from their native Norway. By his mid-twenties Knute saves enough to attend obscure Notre Dame University, where he excels in football and chemistry. He and a teammate develop the forward pass as an offensive weapon while working as life guards on summer break and use it to upset heavily favored Army in a historic game. After graduation Rockne becomes a teacher while coaching part-time but ultimately abandons academics to devote all his energies to football. During his tenure as head coach at the school, he develops such outstanding players as George Gipp, who dies prematurely from a strep infection, and the Four Horseman while introducing many innovative tactics including the backfield shift. Rockne, known for his staccato motivational speeches, devotes his life to maintaining the integrity of the sport he loves and promoting it as an integral component in the development of the American character."
"Kramer vs. Kramer","1979","Drama","tt0079417","Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy. When he has learned to adjust his life to these new responsibilities, Joanna resurfaces and wants Billy back. Ted, however, refuses to give him up, so they go to court to fight for the custody of their son."
"L.A. Confidential","1997","Drama","tt0119488","1950's Los Angeles is the seedy backdrop for this intricate noir-ish tale of police corruption and Hollywood sleaze. Three very different cops are all after the truth, each in their own style: Ed Exley, the golden boy of the police force, willing to do almost anything to get ahead, except sell out; Bud White, ready to break the rules to seek justice, but barely able to keep his raging violence under control; and Jack Vincennes, always looking for celebrity and a quick buck until his conscience drives him to join Exley and White down the one-way path to find the truth behind the dark world of L.A. crime."
"Lady and the Tramp","1955","Comedy","tt0048280","Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while. This turns out to be a bad move, as no dog is above the law."
"Lady Windermere's Fan","1925","Comedy","tt0016004","Mrs Erlynne, the mother of Lady Windermere - her daughter does not know about her - wants to be introduced in society, so that she can marry Lord Augustus Lorton. Lord Windermere, who helped her with a cheque, invites her to his wifes birthday-party, but Lady Windermere thinks, she has reason to be jealous, so she decides to leave her husband and go to Lord Darlington, who is pining for her. Mrs Erlynne finds this out and tries to prevent her of this mistake, but her daughter leaves her fan in Lord Darlingtons residence."
"Lambchops","1929","Comedy","tt0122580","George and Gracie enter an elegant drawing room, looking everywhere for something. Turns out, they're looking for the audience, and when George spots the camera, they start in on their patter. Gracie wants to convince George that she's smart, not dizzy - it's an uphill struggle of which she's blissfully unaware. Midway through, they break into song: ""Do You Believe Me?"" It includes a little bit of hoofing as the chatting continues. They end on a story Gracie whispers into George's ear."
"Laura","1944","Drama","tt0037008","Detective Mark McPherson investigates the killing of Laura, found dead on her apartment floor before the movie starts. McPherson builds a mental picture of the dead girl from the suspects whom he interviews. He is helped by the striking painting of the late lamented Laura hanging on her apartment wall. But who would have wanted to kill a girl with whom every man she met seemed to fall in love? To make matters worse, McPherson finds himself falling under her spell too. Then one night, halfway through his investigations, something seriously bizarre happens to make him re-think the whole case."
"Lawrence of Arabia","1962","Drama","tt0056172","Due to his knowledge of the native Bedouin tribes, British Lieutenant T.E. Lawrence is sent to Arabia to find Prince Faisal and serve as a liaison between the Arabs and the British in their fight against the Turks. With the aid of native Sherif Ali, Lawrence rebels against the orders of his superior officer and strikes out on a daring camel journey across the harsh desert to attack a well-guarded Turkish port."
"Letter from an Unknown Woman","1948","Drama","tt0040536","In Vienna in 1900, Stefan Brand must face a duel the following morning. He has no intention of defending his honor however and plans to flee the city when he notices that he has received a letter from someone in his past. A struggling concert pianist at the time he met Lisa Berndle when she was just a teenager living next door. Brand has had many women in his life however and unaware that Lisa is genuinely in love with him, forgets all about her. They meet again but he only vaguely remembers ever having met her. Unknown to him she bears his child and eventually marries a man who knows of her past but loves her very much. When she runs into Brand many years later her love for him resurfaces and she is prepared to abandon her son and husband for him. Tragedy follows."
"Little Caesar","1931","Drama","tt0021079","Rico is a small-time hood who knocks off gas stations for whatever he can take. He heads east and signs up with Sam Vettori's mob. A New Year's Eve robbery at Little Arnie Lorch's casino results in the death of the new crime commissioner Alvin McClure. Rico's good friend Joe Massara, who works at the club as a professional dancer, works as the gang's lookout man and wants out of the gang. Rico is ambitious and eventually takes over Vettori's gang; he then moves up to the next echelon pushing out Diamond Pete Montana. When he orders Joe to dump his girlfriend Olga and re-join the gang, Olga decides there's only one way out for them."
"Little Fugitive","1953","Drama","tt0046004","Joey, a young boy, runs away to Coney Island after he is tricked into believing he has killed his older brother. Joey collects glass bottles and turns them into money, which he uses to ride the rides."
"Lost Horizon","1937","Drama","tt0029162","British diplomat Robert Conway and a small group of civilians crash land in the Himalayas, and are rescued by the people of the mysterious, Eden-like valley of Shangri-la. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-la provides a seductive escape for the world-weary Conway."
"Louisiana Story","1948","Drama","tt0040550","The idyllic life of a young Cajun boy and his pet raccoon is disrupted when the tranquility of the bayou is broken by an oil well drilling near his home."
