"title","year","genre","imdbID","plot"
"City Lights","1931","Comedy, Drama, Romance","tt0021749","A tramp falls in love with a beautiful blind girl. Her family is in financial trouble. The tramp's on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor."
"Close Encounters of the Third Kind","1977","Drama, Sci-Fi","tt0075860","Two parallel stories are told. In the first, a group of research scientists from a variety of backgrounds are investigating the strange appearance of items in remote locations, primarily desert regions. In continuing their investigation, one of the lead scientists, a Frenchman named Claude Lacombe, incorporates the Kodály method of music education as a means of communication in their work. The response, in turn, at first baffles the researchers, until American cartographer David Laughlin deciphers the meaning of the response. In the second, electric company lineman and family man Roy Neary and single mother Jillian Guiler are among some individuals in Muncie, Indiana who experience some paranormal activity before some flashes of bright lights in the sky, which they believe to be a UFO. Roy becomes obsessed with what he saw, unlike some others, especially in some form of authority, who refuse to acknowledge their belief that it was a UFO in not wanting to appear crazy. That obsession both for Roy and Jillian is ratcheted up a notch when they begin to have a vision of a mound with vertical striations on its side as a key to what is going on. While the obsession negatively affects Roy's life as he knows it in its entirety, Jillian knows she has to find the answer as to its meaning, especially as it relates to her only child, three year old Barry Guiler, who may be more attuned to what is happening than the adult figures around him. These two stories have the potential to intersect if Roy and Jillian can discover where they've seen that mound before, and if they can overcome what they believe to be the lies perpetrated by those in authority in covering up what is going on."
"Coming Home","1978","Drama, Romance, War","tt0077362","Sally Bender is the wife of a Captain in the United States Marine Corps. He is sent over to Vietnam, and Sally is alone. With nothing else to do, she decides to volunteer at a local veteran's hospital, where she meets Luke, who went to high school with Sally. Luke was wounded and is paralyzed and confined to a wheelchair. When Sally begins to fall in love with Luke, she has to make a crucial decision about her life."
"Cool Hand Luke","1967","Crime, Drama","tt0061512","Luke Jackson is a cool, gutsy prisoner in a Southern chain gang, who, while refusing to buckle under to authority, keeps escaping and being recaptured. The prisoners admire Luke because, as Dragline explains it, ""You're an original, that's what you are!"" Nevertheless, the camp staff actively works to crush Luke until he finally breaks."
"Cover Girl","1944","Comedy, Musical, Romance","tt0036723","Rusty Parker, a red-headed leggy dancer at Danny McGuire's Night Club in Brooklyn, wants to be a successful Broadway star. She enters a contest to be a 'Cover Girl' as a stepping-stone in her career. She reminds the publisher, John Coudair, of his lost love, showgirl Maribelle Hicks. He was engaged to Maribelle, although his wealthy society mother made fun of her. Maribelle left John at the altar when she saw the piano at her wedding. It reminded her of the piano-player she truly loved. Rusty is Maribelle's granddaughter and there are musical sequences with Maribelle dancing to songs from the beginning of the 20th century. Rusty lands on the cover of her grandmother's former fiancé's magazine (as a bride). She is pursued by Coudair's pal, the wealthy theatrical producer, Noel Wheaton. He produces a lavish musical to star Rusty, surrounded by real cover girls of the mid 1940's. Rusty runs down a huge spiral into the arms of dozens of men who seem clumsy next to her ethereal dancing. But her success threatens Danny McGuire. He expressed his distress that his girlfriend will find success without him in Kelly's famous dance with himself, 'Alter Ego'. He and his sidekick, Genius, leave New York and entertain soldiers fighting in World War II. Rusty agrees to marry Noel, dazzled by success, security, and his power and money. But she drinks and loses weight because her heart belongs to Danny. She receives a symbolic pearl with great power and tells Coudair and Wheaton that she must spend her life with the man she loves."
"Dark Victory","1939","Drama, Romance","tt0031210","Judith Traherne is at the height of young society when Dr. Frederick Steele diagnoses a brain tumor. After surgery she falls in love with Steele. The doctor tells her secretary that the tumor will come back and eventually kill her. Learning this, Judith becomes manic and depressive. Her horse trainer Michael, who loves her, tells her to get as much out of life as she can. She marries Steele who intends to find a cure for her illness. As he goes off to a conference in New York failing eyesight indicates to Judith that she is dying."
"Days of Wine and Roses","1962","Drama","tt0055895","Joe Clay is a top-notch public relations man. Anything a client wants Joe can arrange for them, whether it be dancing girls or an article in a prominent magazine. Part of the job however is drinking and Joe's ability to consume alcohol seems boundless. When he meets the very pretty Kirsten Arnasen, she prefers chocolate to alcohol but Joe has a solution to that in the form of a Brandy Alexander (made up of brandy and creme de cocoa). They eventually marry but their love is insufficient to prevent them from the downward spiral that alcohol brings to them. They try desperately to break the habit but continually relapse until only one of them manages to break free."
"Deliverance","1972","Adventure, Drama, Thriller","tt0068473","The Cahulawassee River valley in Northern Georgia is one of the last natural pristine areas of the state, which will soon change with the imminent building of a dam on the river, which in turn will flood much of the surrounding land. As such, four Atlanta city slickers - alpha male Lewis Medlock, generally even-keeled Ed Gentry, slightly condescending Bobby Trippe, and wide-eyed Drew Ballinger - decide to take a multi-day canoe trip on the river, with only Lewis and Ed having experience in outdoor life. They know going in that the area is ethno-culturally homogeneous and isolated, but don't understand the full extent of such until they arrive and see what they believe is the result of generations of inbreeding. Their relatively peaceful trip takes a turn for the worse when half way through they encounter a couple of hillbilly moonshiners. That encounter not only makes the four battle their way out of the valley intact and alive, but threatens the relationships of the four as they do and are asked to do things they never thought possible within themselves."
"Dial M for Murder","1954","Crime, Film-Noir, Thriller","tt0046912","In London, wealthy Margot Mary Wendice had a brief love affair with the American writer Mark Halliday while her husband and professional tennis player Tony Wendice was on a tennis tour. Tony quits playing to dedicate to his wife and finds a regular job. She decides to give him a second chance for their marriage. When Mark arrives from America to visit the couple, Margot tells him that she had destroyed all his letters but one that was stolen. Subsequently she was blackmailed, but she had never retrieved the stolen letter. Tony arrives home, claims that he needs to work and asks Margot to go with Mark to the theater. Meanwhile Tony calls Captain Lesgate (aka Charles Alexander Swann who studied with him at college) and blackmails him to murder his wife, so that he can inherit her fortune. But there is no perfect crime, and things do not work as planned."
"Die Hard","1988","Action, Thriller","tt0095016","NYPD cop John McClane goes on a Christmas vacation to visit his wife Holly in Los Angeles where she works for the Nakatomi Corporation. While they are at the Nakatomi headquarters for a Christmas party, a group of bank robbers led by Hans Gruber take control of the building and hold everyone hostage, with the exception of John, while they plan to perform a lucrative heist. Unable to escape and with no immediate police response, John is forced to take matters into his own hands."
"Dirty Dancing","1987","Drama, Music, Romance","tt0092890","In 1963, Frances ""Baby"" Houseman, a sweet daddy's girl, goes with her family to a resort in upstate New York's Catskill Mountains. Baby has grown up in privileged surroundings and all expect her to go on to college, join the Peace Corps and save the world before marrying a doctor, just like her father. Unexpectedly, Baby becomes infatuated with the camp's dance instructor, Johnny Castle, a man whose background is vastly different from her own. Baby lies to her father to get money to pay for an illegal abortion for Johnny's dance partner. She then fills in as Johnny's dance partner and it is as he is teaching her the dance routine that they fall in love. It all comes apart when Johnny's friend falls seriously ill after her abortion and Baby gets her father, who saves the girl's life. He then learns what Baby has been up to, who with and worse - that he funded the illegal abortion. He bans his daughter from any further association with ""those people"". In the first deliberately willful action of her life, Baby later sneaks out to see Johnny - ostensibly to apologize for her father's rudeness - and ends up consummating her relationship with Johnny. A jealous fellow vacationer sees Baby sneaking out of Johnny's bungalow the next morning, and in an act of retribution, tells management that he is responsible for a theft the evening before, knowing he would not furnish his real whereabouts."
"Dirty Harry","1971","Action, Crime, Drama","tt0066999","In the year 1971, San Francisco faces the terror of a maniac known as Scorpio- who snipes at innocent victims and demands ransom through notes left at the scene of the crime. Inspector Harry Callahan (known as Dirty Harry by his peers through his reputation handling of homicidal cases) is assigned to the case along with his newest partner Inspector Chico Gonzalez to track down Scorpio and stop him. Using humiliation and cat and mouse type of games against Callahan, Scorpio is put to the test with the cop with a dirty attitude."
"Do the Right Thing","1989","Comedy, Drama","tt0097216","This film looks at life in the Bedford-Stuyvesant district of Brooklyn on a hot summer Sunday. As he does everyday, Sal Fragione opens the pizza parlor he's owned for 25 years. The neighborhood has changed considerably in the time he's been there and is now composed primarily of African-Americans and Hispanics. His son Pino hates it there and would like nothing better than to relocate the eatery to their own neighborhood. For Sal however, the restaurant represents something that is part of his life and sees it as a part of the community. What begins as a simple complaint by one of his customers, Buggin Out - who wonders why he has only pictures of famous Italian-Americans on the wall when most of his customers are black - eventually disintegrates into violence as frustration seemingly brings out the worst in everyone."
"Doctor Zhivago","1965","Drama, Romance, War","tt0059113","During the Russian Revolution, Yuri Zhivago, is a young doctor who has been raised by his aunt and uncle following his father's suicide. Yuri falls in love with beautiful Lara Guishar, who has been having an affair with her mother's lover, Victor Komarovsky, an unscrupulous businessman. Yuri, however, ends up marrying his cousin, Tonya. But when he and Lara meet again years later, the spark of love reignites."
"Dog Day Afternoon","1975","Biography, Crime, Drama","tt0072890","Based upon a real-life story that happened in the early seventies in which the Chase Manhattan Bank in Gravesend, Brooklyn, was held siege by a gay bank robber determined to steal enough money for his male lover to undergo a sex change operation. On a hot summer afternoon, the First Savings Bank of Brooklyn is held up by Sonny and Sal, two down-and-out characters. Although the bank manager and female tellers agree not to interfere with the robbery, Sonny finds that there's actually nothing much to steal, as most of the cash has been picked up for the day. Sonny then gets an unexpected phone call from Police Captain Moretti, who tells him the place is surrounded by the city's entire police force. Having few options under the circumstances, Sonny nervously bargains with Moretti, demanding safe escort to the airport and a plane out of the country in return for the bank employees' safety."
"Double Indemnity","1944","Crime, Drama, Film-Noir","tt0036775","In 1938, Walter Neff, an experienced salesman of the Pacific All Risk Insurance Co., meets the seductive wife of one of his clients, Phyllis Dietrichson, and they have an affair. Phyllis proposes to kill her husband to receive the proceeds of an accident insurance policy and Walter devises a scheme to receive twice the amount based on a double indemnity clause. When Mr. Dietrichson is found dead on a train track, the police accept the determination of accidental death. However, the insurance analyst and Walter's best friend Barton Keyes does not buy the story and suspects that Phyllis has murdered her husband with the help of another man."
"Dr. No","1962","Action, Adventure, Thriller","tt0055928","James Bond (007) is Britain's top agent and is on an exciting mission, to solve the mysterious murder of a fellow agent. The task sends him to Jamaica, where he joins forces with Quarrel and a loyal CIA agent, Felix Leiter. While dodging tarantulas, ""fire breathing dragons"" and a trio of assassins, known as the three blind mice. Bond meets up with the beautiful Honey Ryder and goes face to face with the evil Dr. No."
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964","Comedy","tt0057012","Paranoid Brigadier General Jack D. Ripper of Burpelson Air Force Base, believing that fluoridation of the American water supply is a Soviet plot to poison the U.S. populace, is able to deploy through a back door mechanism a nuclear attack on the Soviet Union without the knowledge of his superiors, including the Chair of the Joint Chiefs of Staff, General Buck Turgidson, and President Merkin Muffley. Only Ripper knows the code to recall the B-52 bombers and he has shut down communication in and out of Burpelson as a measure to protect this attack. Ripper's executive officer, RAF Group Captain Lionel Mandrake (on exchange from Britain), who is being held at Burpelson by Ripper, believes he knows the recall codes if he can only get a message to the outside world. Meanwhile at the Pentagon War Room, key persons including Muffley, Turgidson and nuclear scientist and adviser, a former Nazi named Dr. Strangelove, are discussing measures to stop the attack or mitigate its blow-up into an all out nuclear war with the Soviets. Against Turgidson's wishes, Muffley brings Soviet Ambassador Alexi de Sadesky into the War Room, and get his boss, Soviet Premier Dimitri Kisov, on the hot line to inform him of what's going on. The Americans in the War Room are dismayed to learn that the Soviets have an as yet unannounced Doomsday Device to detonate if any of their key targets are hit. As Ripper, Mandrake and those in the War Room try and work the situation to their end goal, Major T.J. ""King"" Kong, one of the B-52 bomber pilots, is working on his own agenda of deploying his bomb where ever he can on enemy soil if he can't make it to his intended target."
"Dracula","1931","Fantasy, Horror","tt0021814","After a harrowing ride through the Carpathian mountains in eastern Europe, Renfield enters castle Dracula to finalize the transferral of Carfax Abbey in London to Count Dracula, who is in actuality a vampire. Renfield is drugged by the eerily hypnotic count, and turned into one of his thralls, protecting him during his sea voyage to London. After sucking the blood and turning the young Lucy Weston into a vampire, Dracula turns his attention to her friend Mina Seward, daughter of Dr. Seward who then calls in a specialist, Dr. Van Helsing, to diagnose the sudden deterioration of Mina's health. Van Helsing, realizing that Dracula is indeed a vampire, tries to prepare Mina's fiance, John Harker, and Dr. Seward for what is to come and the measures that will have to be taken to prevent Mina from becoming one of the undead."
"Duck Soup","1933","Comedy, Musical, War","tt0023969","The small state of Freedonia is in a financial mess, borrowing a huge sum of cash from wealthy widow Mrs. Teasdale. She insists on replacing the current president with crazy Rufus T. Firefly and mayhem erupts. To make matters worse, the neighboring state sends inept spies Chicolini and Pinky to obtain top secret information, creating even more chaos!"
"E.T. the Extra-Terrestrial","1982","Family, Sci-Fi","tt0083866","After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien."
"Easy Rider","1969","Adventure, Drama","tt0064276","Two young ""hippie"" bikers, Wyatt and Billy sell some dope in Southern California, stash their money away in their gas-tank and set off for a trip across America, on their own personal odyssey looking for a way to lead their lives. On the journey they encounter bigotry and hatred from small-town communities who despise and fear their non-conformism. However Wyatt and Billy also discover people attempting 'alternative lifestyles' who are resisting this narrow-mindedness, there is always a question mark over the future survival of these drop-out groups. The gentle hippie community who thank God for 'a place to stand' are living their own unreal dream. The rancher they encounter and his Mexican wife are hard-pushed to make ends meet. Even LSD turns sour when the trip is a bad one. Death comes to seem the only freedom. When they arrive at a diner in a small town, they are insulted by the local rednecks as weirdo degenerates. They are arrested on some minor pretext by the local sheriff and thrown in jail where they meet George Hanson, a liberal alcoholic lawyer. He gets them out and decides to join them on their trip to New Orleans in time for Mardi Gras."
"Fame","1980","Drama, Music, Musical","tt0080716","At the New York City High School for the Performing Arts, students get specialized training that often leads to success as actors, singers, etc. This movie follows four students from the time when they audition to get into the school, through graduation. They are the brazen Coco Hernandez, shy Doris Finsecker, sensitive gay Montgomery MacNeil, and brash, abrasive Raul Garcia."
"Fantasia","1940","Animation, Comedy, Family","tt0032455","Disney animators set pictures to Western classical music as Leopold Stokowski conducts the Philadelphia Orchestra. ""The Sorcerer's Apprentice"" features Mickey Mouse as an aspiring magician who oversteps his limits. ""The Rite of Spring"" tells the story of evolution, from single-celled animals to the death of the dinosaurs. ""Dance of the Hours"" is a comic ballet performed by ostriches, hippos, elephants, and alligators. ""Night on Bald Mountain"" and ""Ave Maria"" set the forces of darkness and light against each other as a devilish revel is interrupted by the coming of a new day."
"Fargo","1996","Crime, Drama, Thriller","tt0116282","Jerry works in his father-in-law's car dealership and has gotten himself in financial problems. He tries various schemes to come up with money needed for a reason that is never really explained. It has to be assumed that his huge embezzlement of money from the dealership is about to be discovered by father-in-law. When all else falls through, plans he set in motion earlier for two men to kidnap his wife for ransom to be paid by her wealthy father (who doesn't seem to have the time of day for son-in-law). From the moment of the kidnapping, things go wrong and what was supposed to be a non-violent affair turns bloody with more blood added by the minute. Jerry is upset at the bloodshed, which turns loose a pregnant sheriff from Brainerd, MN who is tenacious in attempting to solve the three murders in her jurisdiction."
"Fatal Attraction","1987","Drama, Thriller","tt0093010","Happily married New York lawyer Dan Callagher has an affair with his colleague Alex, and the two enjoy a love weekend while Dan's wife and kid are away. But Alex will not let go of him, and she will stop at nothing to have him for herself. Just how far will she go to get what she wants?"
"Field of Dreams","1989","Drama, Family, Fantasy","tt0097351","Iowa farmer Ray Kinsella hears a voice in his corn field tell him, ""If you build it, he will come."" He interprets this message as an instruction to build a baseball field on his farm, upon which appear the ghosts of Shoeless Joe Jackson and the other seven Chicago White Sox players banned from the game for throwing the 1919 World Series. When the voices continue, Ray seeks out a reclusive author to help him understand the meaning of the messages and the purpose for his field."
"Finding Nemo","2003","Animation, Adventure, Comedy","tt0266543","A clown fish named Marlin lives in the Great Barrier Reef loses his son, Nemo. After he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. So, while Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbor. While the two are doing this, Nemo and the other sea animals in the dentist's fish tank plot a way to return to Sydney Harbor to live their lives free again."
"Flashdance","1983","Drama, Music, Romance","tt0085549","Alex Owens is a female dynamo: steel worker by day, exotic dancer by night. Her dream is to get into a real dance company, though, and with encouragement from her boss/boyfriend, she may get her chance. The city of Pittsburgh co-stars. What a feeling!"
"Footloose","1984","Drama, Music, Romance","tt0087277","Classic tale of teenage rebellion and repression features a delightful combination of dance choreography and realistic and touching performances. When teenager Ren McCormack and his family move from big-city Chicago to a small Midwestern town, he's in for a real case of culture shock. Though he tries hard to fit in, the streetwise Ren can't quite believe he's living in a place where rock music and dancing are illegal. However, there is one small pleasure: Ariel Moore, a troubled but lovely blonde with a jealous boyfriend. And a Bible-thumping minister, who is responsible for keeping the town dance-free. Ren and his classmates want to do away with this ordinance, especially since the senior prom is around the corner, but only Ren has the courage to initiate a battle to abolish the outmoded ban and revitalize the spirit of the repressed townspeople. Fast-paced drama is filled with such now-famous hit songs as the title track and ""Let's Hear It for the Boy""."
"Forrest Gump","1994","Comedy, Drama, Romance","tt0109830","Forrest Gump is a simple man with a low I.Q. but good intentions. He is running through childhood with his best and only friend Jenny. His 'mama' teaches him the ways of life and leaves him to choose his destiny. Forrest joins the army for service in Vietnam, finding new friends called Dan and Bubba, he wins medals, creates a famous shrimp fishing fleet, inspires people to jog, starts a ping-pong craze, creates the smiley, writes bumper stickers and songs, donates to people and meets the president several times. However, this is all irrelevant to Forrest who can only think of his childhood sweetheart Jenny Curran, who has messed up her life. Although in the end all he wants to prove is that anyone can love anyone."
"Frankenstein","1931","Drama, Horror, Sci-Fi","tt0021884","Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again."
"From Here to Eternity","1953","Drama, Romance, War","tt0045793","In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love."
"Full Metal Jacket","1987","Drama, War","tt0093058","A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive."
"Funny Girl","1968","Biography, Comedy, Drama","tt0062994","Early twentieth century New York. Fanny Brice knows that she is a talented comedienne and singer. She also knows that she is not the beauty typical of the stage performers of the day, she with skinny legs and a crooked nose among other physical issues. So she knows she has to use whatever other means to get her break in show business, that break so that she can at least display her talents. With the help of Eddie Ryan who would become her friend, Fanny is able to get a part in a novelty act in a vaudeville show, the renown from which eventually comes to the attention of famed impresario Florenz Ziegfeld Jr.. Fanny does become one of the Ziegfeld Follies most popular acts, despite she almost getting fired after her first performance by defying Flo's artistic vision for her closing number. Beyond stage success, Fanny also wants a happy personal life, most specifically with the suave Nicky Arnstein, a gambler in every respect of the word. Fanny loves him and loves that he loves her despite her lack of traditional beauty, but she does not love that he comes in and goes out of her life based on his financial standing at any given time and his need to earn that quick buck by the next poker game or high stakes business deal as he feels he needs to play the traditional role of money maker in their relationship on his own terms."
"Gandhi","1982","Biography, Drama, History","tt0083987","In 1893, Gandhi is thrown off a South African train for being an Indian and traveling in a first class compartment. Gandhi realizes that the laws are biased against Indians and decides to start a non-violent protest campaign for the rights of all Indians in South Africa. After numerous arrests and the unwanted attention of the world, the government finally relents by recognizing rights for Indians, though not for the native blacks of South Africa. After this victory, Gandhi is invited back to India, where he is now considered something of a national hero. He is urged to take up the fight for India's independence from the British Empire. Gandhi agrees, and mounts a non-violent non-cooperation campaign of unprecedented scale, coordinating millions of Indians nationwide. There are some setbacks, such as violence against the protesters and Gandhi's occasional imprisonment. Nevertheless, the campaign generates great attention, and Britain faces intense public pressure. Too weak from World War II to continue enforcing its will in India, Britain finally grants India's independence. Indians celebrate this victory, but their troubles are far from over. Religious tensions between Hindus and Muslims erupt into nation-wide violence. Gandhi declares a hunger strike, saying he will not eat until the fighting stops. The fighting does stop eventually, but the country is divided. It is decided that the northwest area of India, and eastern part of India (current day Bangladesh), both places where Muslims are in the majority, will become a new country called Pakistan (West and East Pakistan respectively). It is hoped that by encouraging the Muslims to live in a separate country, violence will abate. Gandhi is opposed to the idea, and is even willing to allow Muhammad Ali Jinnah to become the first prime minister of India, but the Partition of India is carried out nevertheless. Gandhi spends his last days trying to bring about peace between both nations. He thereby angers many dissidents on both sides, one of whom finally gets close enough to assassinate him."
"Gentlemen Prefer Blondes","1953","Comedy, Crime, Musical","tt0045810","Lorelei and Dorothy are just ""Two Little Girls from Little Rock"", lounge singers on a transatlantic cruise, working their way to Paris, and enjoying the company of any eligible men they might meet along the way, even though ""Diamonds are a Girl's Best Friend."" Based on the Broadway musical based on the novel."
"Ghost","1990","Drama, Fantasy, Romance","tt0099653","Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons."
"Giant","1956","Drama, Western","tt0049261","Texan rancher Bick Benedict visits a Maryland farm to buy a prize horse. Whilst there he meets and falls in love with the owner's daughter Leslie, they are married immediately and return to his ranch. The story of their family and its rivalry with cowboy and (later oil tycoon) Jett Rink unfolds across two generations."
"Gigi","1958","Comedy, Musical, Romance","tt0051658","Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship, but it may not stay platonic for long."
"Gilda","1946","Drama, Film-Noir, Romance","tt0038559","Just arrived in Argentina, small-time crooked gambler Johnny Farrell is saved from a gunman by sinister Ballin Mundson, who later makes Johnny his right-hand man. But their friendship based on mutual lack of scruples is strained when Mundson returns from a trip with a wife: the supremely desirable Gilda, whom Johnny once knew and learned to hate. The relationship of Johnny and Gilda, a battlefield of warring emotions, becomes even more bizarre after Mundson disappears..."
"Gladiator","2000","Action, Adventure, Drama","tt0172495","Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge."
"Going My Way","1944","Comedy, Drama, Music","tt0036872","Youthful Father Chuck O'Malley led a colorful life of sports, song, and romance before joining the Roman Catholic clergy, but his level gaze and twinkling eyes make it clear that he knows he made the right choice. After joining a parish, O'Malley's worldly knowledge helps him connect with a gang of kids looking for direction and handle the business details of the church-building fund, winning over his aging, conventional superior, Father Fitzgibbon."
"Gone with the Wind","1939","Drama, History, Romance","tt0031381","Scarlett is a woman who can deal with a nation at war, Atlanta burning, the Union Army carrying off everything from her beloved Tara, the carpetbaggers who arrive after the war. Scarlett is beautiful. She has vitality. But Ashley, the man she has wanted for so long, is going to marry his placid cousin, Melanie. Mammy warns Scarlett to behave herself at the party at Twelve Oaks. There is a new man there that day, the day the Civil War begins. Rhett Butler. Scarlett does not know he is in the room when she pleads with Ashley to choose her instead of Melanie."
"Goodbye, Mr. Chips","1939","Drama, Romance","tt0031385","An old classics teacher looks back over his long career, remembering pupils and colleagues, and above all the idyllic courtship and marriage that transformed his life."
"Goodfellas","1990","Biography, Crime, Drama","tt0099685","Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?"
"Grand Hotel","1932","Drama, Romance","tt0022958","Berlin's plushest, most expensive hotel is the setting where in the words of Dr. Otternschlag ""People come, people go. Nothing ever happens."". The doctor is usually drunk so he missed the fact that Baron von Geigern is broke and trying to steal eccentric dancer Grusinskaya's pearls. He ends up stealing her heart instead. Powerful German businessman Preysing brow beats Kringelein, one of his company's lowly bookkeepers but it is the terminally ill Kringelein who holds all the cards in the end. Meanwhile, the Baron also steals the heart of Preysing's mistress, Flaemmchen, but she doesn't end up with either one of them in the end..."
"Grease","1978","Musical, Romance","tt0077631","A musical about teens in love in the 50's! It's California 1959 and greaser Danny Zuko and Australian Sandy Olsson are in love. They spend time at the beach, and when they go back to school, what neither of them knows is that they both now attend Rydell High. Danny's the leader of the T-Birds, a group of black leather jacket-wearing greasers while Sandy hangs with the Pink Ladies, a group of pink-wearing girls led by Rizzo. When they clash at Rydell's first pep rally, Danny isn't the same Danny from the beach. They try to be like each other so they can be together."
"Groundhog Day","1993","Comedy, Fantasy, Romance","tt0107048","A weather man is reluctantly sent to cover a story about a weather forecasting ""rat"" (as he calls it). This is his fourth year on the story, and he makes no effort to hide his frustration. On awaking the 'following' day he discovers that it's Groundhog Day again, and again, and again. First he uses this to his advantage, then comes the realisation that he is doomed to spend the rest of eternity in the same place, seeing the same people do the same thing EVERY day."
"Guess Who's Coming to Dinner","1967","Comedy, Drama","tt0061735","After a period of vacation in Hawaii, Joanna ""Joey"" Drayton returns to her parents' home in San Francisco bringing her fiancé, the high-qualified Dr. John Prentice, to introduce him to her mother Christina Drayton that owns an art gallery and her father Matt Drayton that is the publisher editor of the newspaper The Guardian. Joey was raised with a liberal education and intends to get married with Dr. John Prentice that is a black widower and needs to fly on that night to Geneva to work with the World Health Organization. Joey invites John's parents Mr. Prentice and Mrs. Prentice to have dinner with her family and the couple flies from Los Angeles to San Francisco without knowing that Joey is white. Christina invites also the liberal Monsignor Ryan, who is friend of her family. Along the day and night, the families discuss the problems of their son and daughter."
"Guys and Dolls","1955","Comedy, Crime, Musical","tt0048140","All the hot gamblers are in town, and they're all depending on Nathan Detroit to set up this week's incarnation of ""The Oldest Established Permanent Floating Crap Game in New York""; the only problem is, he needs $1000 to get the place. Throw in Sarah Brown, who's short on sinners at the mission she runs; Sky Masterson, who accepts Nathan's $1000 bet that he can't get Sarah Brown to go with him to Havana; Miss Adelaide, who wants Nathan to marry her; Police Lieutenant Brannigan, who always seems to appear at the wrong time; and the music/lyrics of Frank Loesser, and you've got quite a musical. Includes the songs: Fugue for Tinhorns, ""Luck Be a Lady"", ""Sit Down, You're Rocking the Boat""."
"Hair","1979","Comedy, Drama, Musical","tt0079261","This movie, based on the cult Broadway musical of the 60s, tells a story about Claude, a young man from Oklahoma who comes to New York City. There he strikes up a friendship with a group of hippies, led by Berger, and falls in love with Sheila, a girl from a rich family. However, their happiness is short because Claude must go to the Vietnam war."
"Halloween","1978","Horror, Thriller","tt0077651","The year is 1963, the night: Halloween. Police are called to 43 Lampkin Ln. only to discover that 15 year old Judith Myers has been stabbed to death, by her 6 year-old brother, Michael. After being institutionalized for 15 years, Myers breaks out on the night before Halloween. No one knows, nor wants to find out, what will happen on October 31st 1978 besides Myers' psychiatrist, Dr. Loomis. He knows Michael is coming back to Haddonfield, but by the time the town realizes it, it'll be too late for many people."
"Harold and Maude","1971","Comedy, Drama, Romance","tt0067185","Harold is a depressed, death-obsessed 20-year-old man/child who spends his free time attending funerals and pretending to commit suicide in front of his mother. At a funeral, Harold befriends Maude, a 79-year-old woman who has a zest for life. She and Harold spend much time together during which she exposes him to the wonders and possibilities of life. After rejecting his mother's three attempts to set him up with a potential wife, and committing fake suicide in front of all of them, Harold announces that he is to be married to Maude. However, Maude has a surprise for Harold that is to change his life forever."
"Harvey","1950","Comedy, Drama, Fantasy","tt0042546","The classic stage hit gets the Hollywood treatment in the story of Elwood P. Dowd who makes friends with a spirit taking the form of a human-sized rabbit named Harvey that only he sees (and a few privileged others on occasion also.) After his sister tries to commit him to a mental institution, a comedy of errors ensues. Elwood and Harvey become the catalysts for a family mending its wounds and for romance blossoming in unexpected places."
